鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.45,商,,,1070913,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,110.04,2,2,1,有,有,7790000,70792,坡道機械,0.0,1200000,,RPSPMLPLIINFFAE18CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,11.69,商,,,1070919,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,144.25,3,2,2,有,有,10070000,69809,坡道平面,0.0,1900000,,RPTPMLPLIINFFAE28CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.59,商,,,1070912,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,109.80000000000001,2,2,1,有,有,7980000,72678,坡道機械,0.0,1300000,,RPUPMLPLIINFFAE38CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,6.43,商,,,1070920,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,80.12,2,2,1,有,有,5680000,70894,,0.0,0,,RPOOMLQLIINFFAE77CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.41,商,,,1070912,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,109.4,2,2,1,有,有,7420000,67824,坡道機械,0.0,1100000,,RPPOMLQLIINFFAE87CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.66,商,,,1070912,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,99.69000000000001,2,2,1,有,有,6830000,68512,,0.0,0,,RPQOMLQLIINFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.73,商,,,1070911,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,100.05,2,2,1,有,有,6660000,66567,坡道機械,0.0,1100000,,RPPNMLRLIINFFAE87CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.86,商,,,1070921,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,96.94,2,2,1,有,有,5400000,55705,,0.0,0,,RPQNMLRLIINFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,9.84,商,,,1070907,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,122.78999999999999,2,2,1,有,有,8940000,72807,坡道平面,0.0,1800000,,RPRNMLRLIINFFAE08CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.84,商,,,1070919,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,100.09,2,2,1,有,有,7050000,70437,,0.0,0,,RPSNMLRLIINFFAE18CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.65,商,,,1070913,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,107.28,2,2,1,有,有,6390000,59564,坡道機械,0.0,900000,,RPTNMLRLIINFFAE28CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.59,商,,,1070913,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,109.80000000000001,2,2,1,有,有,7980000,72678,坡道機械,0.0,1200000,,RPUNMLRLIINFFAE38CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.94,商,,,1070907,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,89.7,2,2,1,有,有,5990000,66778,,0.0,0,,RPOOMLOLIINFFAE57CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.63,商,,,1070912,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,110.44,2,2,1,有,有,8350000,75607,坡道機械,0.0,1200000,,RPROMLOLIINFFAE87CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.86,商,,,1070918,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,96.94,2,2,1,有,有,6510000,67155,,0.0,0,,RPSOMLOLIINFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.61,商,,,1070918,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,106.63999999999999,2,2,1,有,有,7470000,70049,坡道機械,0.0,1100000,,RPUOMLOLIINFFAE18CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.66,商,,,1070920,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,99.69000000000001,2,2,1,有,有,6660000,66807,,0.0,0,,RPWOMLOLIINFFAE38CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.45,商,,,1070920,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,110.04,2,2,1,有,有,7400000,67248,坡道機械,0.0,1100000,,RPXOMLOLIINFFAE48CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,8.45,商,,,1070918,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,110.04,2,2,1,有,有,7660000,69611,坡道機械,0.0,1200000,,RPOPMLOLIINFFAE67CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,11.69,商,,,1070914,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,144.25,3,2,2,有,有,8440000,58510,坡道平面,0.0,1300000,,RPXNMLPLIINFFAE48CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,11.69,商,,,1070914,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,144.25,3,2,2,有,有,8800000,61005,坡道平面,0.0,1900000,,RPOOMLPLIINFFAE67CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,11.69,商,,,1070919,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,144.25,3,2,2,有,有,8880000,61560,坡道平面,0.0,1900000,,RPPOMLPLIINFFAE77CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,9.92,商,,,1070919,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,115.55,2,2,1,有,有,7000000,60580,坡道平面,0.0,1800000,,RPQOMLPLIINFFAE87CA
前金區,房地(土地+建物)+車位,高雄市前金區六合二路151巷1~30號,9.82,商,,,1070919,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,125.94,2,2,1,有,有,7720000,61299,坡道平面,0.0,1800000,,RPROMLPLIINFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區大順一路1021~1050號,14.33,住,,,1070908,土地1建物1車位1,一層，二層,二十七層,店面(店鋪),住商用,鋼筋混凝土造,0840707,156.89,3,2,1,有,有,9300000,59277,坡道機械,0.0,800000,,RPUNMLTKIINFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街211~240號,36.44,商,,,1070716,土地1建物1車位2,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,308.89,3,2,3,有,有,17000000,55036,坡道平面,0.0,0,,RPVOMLLKIINFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓南街10巷1~30號,14.0,商,,,1070917,土地1建物1車位0,全,三層,透天厝,,加強磚造,0480320,32.38,9,2,4,有,無,1000000,30883,,0.0,0,,RPPOMLPJIINFFAE57CA
前金區,房地(土地+建物),高雄市前金區中華三路151~180號,19.52,商,,,1070919,土地1建物1車位0,一層，二層，騎樓,十二層,店面(店鋪),,鋼筋混凝土造,0721224,151.88,0,0,0,無,無,8500000,55965,,0.0,0,,RPTOMLPJIINFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路451~480號,8.09,商,,,1070917,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950626,78.42,2,2,1,有,有,4900000,62484,,0.0,0,,RPQOMLMJIINFFAE37CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路1~30號,2.36,住,,,1070920,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0691117,26.060000000000002,1,0,1,有,有,400000,15349,,0.0,0,,RPQOMLOJIINFFAE57CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路151~180號,14.83,住,,,1070905,土地1建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,174.34,4,2,2,有,有,7720000,44279,坡道平面,34.7,0,,RPUOMLOJIINFFAE97CA
前金區,房地(土地+建物),高雄市前金區成功一路391~420號,10.62,商,,,1070917,土地1建物2車位0,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781222,159.32,3,2,2,有,有,5800000,36405,,0.0,0,,RPVOMLPJIINFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鹽埕區文信路181~210號,5.98,住,,,1070901,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901008,78.58,2,2,1,有,有,5000000,63629,坡道機械,0.0,0,,RPSNMLNJIINFFAE57CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區河西一路1441~1470號,39.05,住,,,1070823,土地1建物1車位2,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990504,333.86,4,2,3,有,有,23000000,69192,坡道平面,53.48,3600000,,RPOPMLPJIINFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區華豐街56巷1~30號,20.2,住,,,1070902,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680620,51.65,2,2,1,有,無,2000000,38722,,0.0,0,,RPQPMLLKIINFFAE47CA
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路331~360號,7.08,商,,,1070920,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1051017,97.86,0,0,1,無,有,7950000,81239,升降機械,0.0,1150000,,RPTNMLMKIINFFAE67CA
前金區,房地(土地+建物),高雄市前金區七賢二路331~360號,5.59,商,,,1070921,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1051017,71.25999999999999,0,0,1,無,有,5780000,81111,,0.0,0,,RPUNMLMKIINFFAE77CA
前金區,房地(土地+建物),高雄市前金區七賢二路331~360號,5.68,商,,,1070921,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1051017,76.0,0,0,1,無,有,5820000,76579,,0.0,0,,RPWNMLMKIINFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路331~360號,10.94,商,,,1070901,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040731,141.21,3,2,2,有,無,9330000,66072,升降平面,0.0,0,,RPPNMLKKIINFFAE07CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路241~270號,26.44,住,,,1070912,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940819,205.45,3,1,2,有,有,12500000,60842,坡道平面,23.76,0,,RPQNMLPKIINFFAE67CA
前金區,房地(土地+建物),高雄市前金區成功一路541~570號,18.58,住,,,1070908,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0810513,108.4,0,0,1,有,有,9000000,83026,,0.0,0,無隔間一廚房一廁所,RPOOMLMLIINFFAE37CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區大義街91~120號,9.54,商,,,1070906,土地1建物1車位1,十五層，見其它登記事項,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070329,133.23000000000002,3,2,2,有,有,9770000,73332,坡道機械,0.0,1080000,,RPUNMLPKIINFFAE08CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區大義街91~120號,9.53,商,,,1070906,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070329,126.02,3,2,2,有,有,7900000,62688,坡道機械,0.0,1080000,,RPVNMLPKIINFFAE18CA
鹽埕區,房地(土地+建物),高雄市鹽埕區大義街91~120號,5.97,商,,,1070906,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070329,73.91,2,2,1,有,有,5630000,76174,,0.0,0,,RPWNMLPKIINFFAE28CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區大義街91~120號,9.15,商,,,1070816,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070329,120.97,3,2,2,有,有,8250000,68199,坡道機械,0.0,1080000,,RPVOMLMKIINFFAE97CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.86,商,,,1070918,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,96.94,2,2,1,有,有,6570000,67774,,0.0,0,,RPVNMLRLIINFFAE48CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,6.43,商,,,1070912,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,80.12,2,2,1,有,有,5060000,63155,,0.0,0,,RPWNMLRLIINFFAE58CA
前金區,房地(土地+建物),高雄市前金區六合二路151巷1~30號,7.66,商,,,1070913,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,99.69000000000001,2,2,1,有,有,5500000,55171,,0.0,0,,RPXNMLRLIINFFAE68CA
苓雅區,房地(土地+建物),高雄市苓雅區文橫二路1~30號,4.39,商,,,1070925,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710430,41.86,1,1,1,有,有,1000000,23889,,0.0,0,,RPXNMLNJIINFFBE18CA
苓雅區,土地,林德官段一小段1621~1650地號,92.0,住,,,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,86957,,0.0,0,,RPTOMLNJIINFFBE87CA
鼓山區,車位,高雄市鼓山區南屏路841~870號,0.0,,,,1070909,土地0建物0車位1,,,其他,,,,26.88,0,0,0,有,無,1900000,,坡道平面,26.88,0,,RPVOMLPLIINFFAE38CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路62巷40弄1~30號,31.21,住,,,1070917,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690421,78.37,3,1,2,有,無,2400000,30624,,0.0,0,,RPROMLOJIINFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區中華四路19巷1~30號,15.04,商,,,1070901,土地2建物1車位0,十七層，十八層,十九層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790530,187.02,4,2,2,有,有,5400000,28874,,0.0,0,含增建或未登記建物。,RPROMLPJIINFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路211~240號,4.93,商,,,1070827,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070621,67.47,1,1,1,有,有,4980000,73811,,0.0,0,,RPSOMLQLIINFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路211~240號,5.97,商,,,1070918,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070621,81.75,2,2,1,有,有,6570000,80367,,0.0,0,,RPVOMLQLIINFFBE58CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路211~240號,5.97,商,,,1070918,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070621,81.75,2,2,1,有,有,6480000,79266,,0.0,0,,RPWOMLQLIINFFBE68CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路211~240號,4.93,商,,,1070827,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070621,67.47,1,1,1,有,有,5630000,83444,,0.0,0,,RPXOMLQLIINFFBE78CA
苓雅區,土地,意誠段211~240地號,636.5,商,,,1070710,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300588400,472252,,0.0,0,,RPQNMLNLIINFFBE67CA
苓雅區,房地(土地+建物),高雄市苓雅區河北路58巷1~30號,81.0,住,,,1070827,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0571203,86.66,8,1,8,有,無,6500000,75006,,0.0,0,,RPPNMLQKIINFFBE77CA
小港區,房地(土地+建物)+車位,高雄市小港區高鳳路459巷1弄1~30號,11.21,住,,,1070903,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,111.99000000000001,3,1,2,有,有,3080000,27502,坡道機械,0.0,0,內含未於登記(簿)謄本記載地下一層機械式停車位1座。,RPOPMLPJIINFFCE77CA
小港區,房地(土地+建物),高雄市小港區飛機路511~540號,85.0,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住商用,見其它登記事項,0650824,147.72,3,1,3,有,無,5287500,35794,,0.0,0,,RPUNMLNJIINFFCE97CA
小港區,房地(土地+建物),高雄市小港區桂義街169巷1~30號,92.52,住,,,1070926,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850712,198.06,6,2,5,有,無,7600000,38372,,0.0,0,,RPVNMLOJIINFFCE18CA
小港區,房地(土地+建物),高雄市小港區光和路31~60號,57.49,住,,,1070905,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860314,214.34000000000003,3,1,2,有,無,2741127,12789,,0.0,0,親屬間自用住宅移轉買賣。,RPPNMLSJIINFFCE97CA
前鎮區,房地(土地+建物),高雄市前鎮區長江街61~90號,25.05,住,,,1070901,土地2建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0850117,146.89,3,2,2,有,有,5380000,36626,,0.0,0,,RPUNMLMKIINFFCE97CA
三民區,房地(土地+建物),高雄市三民區哈爾濱街1巷1~30號,57.0,住,,,1070905,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570321,80.9,2,2,2,有,無,3000000,37083,,0.0,0,,RPRNMLNJIINFFDE77CA
三民區,房地(土地+建物),高雄市三民區大昌一路222巷1~30號,64.61,住,,,1070810,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0651222,114.0,3,3,3,有,無,8000000,70175,,0.0,0,,RPWNMLNJIINFFDE28CA
三民區,房地(土地+建物),高雄市三民區三德西街44巷1~30號,31.32,住,,,1070913,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0800115,153.72,3,1,1,有,無,5500000,35779,,0.0,0,,RPRNMLOJIINFFDE87CA
三民區,房地(土地+建物),高雄市三民區河堤路481~510號,8.29,住,,,1070818,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870122,86.08,2,1,1,有,有,3850000,44726,,0.0,0,,RPUOMLPJIINFFDE38CA
三民區,房地(土地+建物),高雄市三民區寶盛里大順三路316巷61~90號,32.98,住,,,1070917,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690110,88.9,3,2,2,有,無,5300000,59618,,0.0,0,,RPXNMLPJIINFFDE58CA
